,type,year,tuition_type,tuition_cost,tuition_2,avg_tuition,1_year_change_tuition,total_change_tuition,cpi,1_year_change_cpi,total_change_cpi
151,All Institutions,2007-08,4 Year Constant,22194,23166,22680,1.0830324909747224,10138.0,207.342,2.84821428571429,92.69702602230485
152,All Institutions,2007-08,2 Year Constant,8754,9137,8945,-1.3672951813871403,1273.0,207.342,2.84821428571429,92.69702602230485
153,All Institutions,2007-08,All Current,16231,16227,16229,4.811418238181342,11344.0,207.342,2.84821428571429,92.69702602230485
154,All Institutions,2007-08,4 Year Current,19363,19364,19363,4.823516673884809,13859.0,207.342,2.84821428571429,92.69702602230485
155,All Institutions,2007-08,2 Year Current,7637,7637,7637,2.290383069916957,4270.0,207.342,2.84821428571429,92.69702602230485
156,All Institutions,2008-09,All Constant,19321,20111,19716,3.7247474747474696,8585.0,215.303,3.8395501152684863,100.0957249070632
157,All Institutions,2008-09,4 Year Constant,23071,24024,23547,3.8227513227513166,11005.0,215.303,3.8395501152684863,100.0957249070632
158,All Institutions,2008-09,2 Year Constant,9312,9697,9504,6.249301285634434,1832.0,215.303,3.8395501152684863,100.0957249070632
159,All Institutions,2008-09,All Current,17092,17045,17068,5.169757840902078,12183.0,215.303,3.8395501152684863,100.0957249070632
160,All Institutions,2008-09,4 Year Current,20409,20361,20385,5.27810773124,14881.0,215.303,3.8395501152684863,100.0957249070632
161,All Institutions,2008-09,2 Year Current,8238,8219,8228,7.738640827550092,4861.0,215.303,3.8395501152684863,100.0957249070632
162,All Institutions,2009-10,All Constant,19761,20625,20193,2.4193548387096753,9062.0,214.537,-0.3557776714676497,99.38382899628255
163,All Institutions,2009-10,4 Year Constant,23652,24687,24169,2.641525459718852,11627.0,214.537,-0.3557776714676497,99.38382899628255
164,All Institutions,2009-10,2 Year Constant,9562,9981,9771,2.8093434343434254,2099.0,214.537,-0.3557776714676497,99.38382899628255
165,All Institutions,2009-10,All Current,17650,17650,17650,3.4098898523552856,12765.0,214.537,-0.3557776714676497,99.38382899628255
